Date,IBM,KO,LMT,MCD,MSFT,SBUX,TTE,UBER,V,XOM
2023-04-19,120.72074127197266,61.712284088134766,481.59063720703125,284.8455505371094,286.10186767578125,104.85299682617188,60.66814422607422,32.040000915527344,230.75933837890625,112.54289245605469
2023-04-20,120.75897216796875,61.98363494873047,477.1556091308594,284.5815124511719,283.7808837890625,104.74535369873047,60.458778381347656,31.5,232.77352905273438,111.64502716064453
2023-04-21,120.15689849853516,62.070858001708984,469.3262023925781,285.6181335449219,283.43377685546875,105.8608169555664,60.38264465332031,30.829999923706055,232.22781372070312,112.00225067138672
2023-04-24,119.84152221679688,61.97394561767578,467.7408752441406,286.7330017089844,279.47625732421875,106.9371337890625,61.26768493652344,30.68000030517578,230.9478302001953,114.1165771484375
2023-04-25,120.30979919433594,61.87703323364258,462.5472106933594,285.0802917480469,273.1779479980469,106.9860610961914,60.19231414794922,29.59000015258789,227.80250549316406,112.49462127685547
2023-04-26,120.27156829833984,61.586307525634766,448.96978759765625,283.368896484375,292.9655456542969,109.07020568847656,60.31603240966797,29.68000030517578,226.3737335205078,111.46159362792969
2023-04-27,121.34192657470703,61.712284088134766,452.2571716308594,288.219482421875,302.3485107421875,110.32263946533203,59.73552322387695,29.700000762939453,227.22703552246094,112.7939224243164
2023-04-28,120.80675506591797,62.16776657104492,451.72222900390625,289.22674560546875,304.75872802734375,111.82949829101562,60.83944320678711,31.049999237060547,230.91807556152344,114.25175476074219
2023-05-01,120.50093078613281,62.31313705444336,456.56573486328125,291.0163879394531,303.0726013183594,112.09368133544922,60.011497497558594,32.7400016784668,230.6997833251953,110.70853424072266
2023-05-02,119.6121597290039,62.0320930480957,446.3145751953125,291.4955749511719,302.923828125,111.9958267211914,57.746551513671875,36.52000045776367,225.21286010742188,106.29641723632812
2023-05-03,117.97795104980469,61.6832160949707,440.6540832519531,288.7084655761719,301.9220275878906,101.72187805175781,57.118465423583984,37.84000015258789,224.2206268310547,104.20137786865234
2023-05-04,117.136962890625,61.75105285644531,439.5453186035156,288.6497802734375,302.923828125,102.46552276611328,57.34685516357422,37.4900016784668,223.84359741210938,102.37667846679688
2023-05-05,118.16909790039062,62.041778564453125,443.056396484375,290.0580139160156,308.12115478515625,104.90190887451172,58.926605224609375,37.75,229.9754638671875,104.92546844482422
2023-05-08,117.93016815185547,61.94487380981445,438.6018981933594,290.1460266113281,306.137451171875,104.86277770996094,58.48884963989258,38.83000183105469,230.42196655273438,105.34062194824219
2023-05-09,117.37800598144531,61.43124771118164,439.6523132324219,290.1166687011719,304.5008850097656,104.41268157958984,58.1367301940918,38.189998626708984,231.44395446777344,105.36957550048828
2023-05-10,118.20140075683594,61.53784942626953,440.73187255859375,290.0286865234375,309.76763916015625,104.66707611083984,57.984474182128906,38.790000915527344,229.46945190429688,104.01795196533203
2023-05-11,117.11646270751953,61.886722564697266,438.33929443359375,288.2879333496094,307.5855712890625,103.87056732177734,57.08991241455078,38.41999816894531,229.6583251953125,102.13530731201172
2023-05-12,118.99574279785156,62.129005432128906,438.4365234375,289.608154296875,306.454833984375,104.3524169921875,57.356380462646484,38.45000076293945,230.0261688232422,102.12566375732422
2023-05-15,119.49947357177734,61.96425247192383,439.53558349609375,289.3734436035156,306.94085693359375,104.8637466430664,57.94640350341797,38.13999938964844,231.44781494140625,102.32042694091797
2023-05-16,119.59634399414062,61.266502380371094,435.4604187011719,287.6620178222656,309.2023010253906,103.52640533447266,56.71876525878906,37.439998626708984,229.12149047851562,99.837158203125
