,IBM,KO,LMT,MCD,MSFT,SBUX,TTE,UBER,V,XOM,Mkt-RF,SMB,HML,RMW,CMA,RF
2022-09-16,118.73709106445312,56.85775375366211,397.9343566894531,246.46836853027344,241.46072387695312,88.39076232910156,45.14616394042969,31.93000030517578,190.9932556152344,88.58956909179688,-0.98,-0.75,0.85,1.68,0.95,0.009
2022-09-19,119.166259765625,57.2874755859375,400.0762939453125,248.49884033203125,241.2436981201172,89.1942367553711,44.6597785949707,31.489999771118164,190.8252716064453,88.5800552368164,0.72,-0.08,0.67,0.61,-0.07,0.009
2022-09-20,117.8321304321289,57.20153427124024,403.97601318359375,246.942138671875,239.201416015625,87.88739776611328,43.847618103027344,31.489999771118164,189.77793884277344,87.85773468017578,-1.16,-0.3,0.06,-0.12,0.33,0.009
2022-09-21,116.5539779663086,56.72405624389648,403.6110229492188,242.7652282714844,235.7483062744141,85.76740264892578,43.61948013305664,30.46999931335449,184.78819274902344,86.44158172607422,-1.68,0.33,0.08,0.38,0.1,0.009
2022-09-22,116.90850067138672,56.590362548828125,405.4168090820313,239.72921752929688,237.75108337402344,81.9920883178711,43.77461624145508,28.57999992370605,183.5728759765625,86.08043670654297,-1.14,-1.16,0.42,1.16,0.91,0.009
2022-09-23,114.48281860351562,55.9600944519043,396.7625427246094,237.80511474609372,234.73211669921875,81.47904205322266,41.009613037109375,27.81999969482422,181.76470947265625,81.49935150146484,-1.85,-0.48,-0.8,0.19,-0.25,0.009
2022-09-26,113.82974243164062,55.262977600097656,391.5564880371094,235.6876220703125,234.26840209960935,82.09857940673828,40.936614990234375,26.88999938964844,178.4348907470703,79.81710815429688,-1.02,-0.06,-0.75,0.18,-0.41,0.009
2022-09-27,113.5778579711914,53.84010696411133,383.958740234375,228.86143493652344,233.24234008789065,81.58551788330078,41.52975845336914,27.56999969482422,175.74737548828125,81.48985290527344,-0.05,0.58,-0.93,-0.63,-0.9,0.009
2022-09-28,114.52947235107422,54.41307067871094,384.20849609375,229.093505859375,237.8399353027344,84.32504272460938,42.17766571044922,28.040000915527344,177.04171752929688,84.4552001953125,2.15,0.92,-0.33,-0.87,-0.71,0.009
2022-09-29,113.47522735595705,54.02153778076172,374.401611328125,226.6375732421875,234.31773376464844,83.80229949951172,42.57006072998047,26.420000076293945,177.91123962402344,84.28410339355469,-2.17,-0.28,0.87,0.44,0.5,0.009
